Student,LPIPS,SSIM
113590010.png,0.0,1.0
113590031.png,0.29959869384765625,0.6113055747228284
111590047.png,0.31667381525039673,0.6195034504015222
113590047.png,0.34750568866729736,0.6719933557814866
113590032.png,0.35595378279685974,0.5948830287103738
113590005.png,0.3567405939102173,0.6642539250536658
113590004.png,0.36342036724090576,0.664136209781297
113590043.png,0.3643091022968292,0.696085886822663
113590026.png,0.36442577838897705,0.6177477423386415
113370239.png,0.36938604712486267,0.6123668870772684
113590025.png,0.3711773455142975,0.6865070080431513
113590040.png,0.3787286579608917,0.6111137922150944
113590033.png,0.37890464067459106,0.6019884897108387
111590042.png,0.3794621229171753,0.699324762766719
113590450.png,0.3815469741821289,0.6221971439188156
113590060.png,0.39275968074798584,0.6128929533962232
113590039.png,0.3946632444858551,0.611884902315126
113590003.png,0.3953129053115845,0.5948084064888355
113590001.png,0.40152016282081604,0.5726572706082902
113590015.png,0.4041078984737396,0.5865560812800164
111590028.png,0.4043314754962921,0.6235280053245444
113590051.png,0.4088974595069885,0.5946860738137298
113590055.png,0.40960508584976196,0.6105984026635414
113590044.png,0.4103277921676636,0.5536312628046862
113590056.png,0.412113219499588,0.6171464768645857
113590052.png,0.4122147262096405,0.5728838720473393
113590451.png,0.41276785731315613,0.5879001531675715
113590021.png,0.4147510230541229,0.5643825636538714
111590062.png,0.4158695340156555,0.5915017346975022
113590057.png,0.4197205901145935,0.5812748293390986
114054809.png,0.42133405804634094,0.6012235825966114
113590006.png,0.4221448302268982,0.5205461864481798
110590455.png,0.4257045388221741,0.602533411191538
113590062.png,0.4272232949733734,0.5554257609520853
112590452.png,0.43486714363098145,0.5866855614755249
113590061.png,0.43956202268600464,0.606448914202727
113590022.png,0.44326868653297424,0.5504035911453682
113590002.png,0.4479615390300751,0.5540716923109995
112590454.png,0.45558875799179077,0.5523547123552061
113AC1012.png,0.45905300974845886,0.583750871323774
112590455.png,0.46013838052749634,0.5723897663653653
113590045.png,0.4668906331062317,0.5393298650416117
113590036.png,0.46720826625823975,0.538171460147828
113AB0018.png,0.46997618675231934,0.5425716350119141
113590011.png,0.4772176146507263,0.5424176184907534
112590040.png,0.4782010316848755,0.5381973969843467
113590028.png,0.49309802055358887,0.5211555780980975
113590042.png,0.4985140264034271,0.515938292676028
113590059.png,0.4986598491668701,0.4767801164045092
113590050.png,0.5008707642555237,0.4840456729822325
113590018.png,0.5032309293746948,0.5141592884460549
113590023.png,0.515224039554596,0.4699009119978918
111590455.png,0.5485963225364685,0.4690247773311233
113590049.png,0.5605725646018982,0.43209503850189845
112590058.jpg,0.5749015808105469,0.39008783548761666
113590013.png,0.5764667987823486,0.3769661997150655
113590008.png,0.5771474838256836,0.4136311152841581
